month_end,n_obs,r2,median_mispricing,mad_mispricing,coef_dispersion
2001-01-31,319,-3267.3993338065025,-0.9651076577337926,0.04885373635966361,31703131200.552826
2001-02-28,313,-1626.9128559689448,-0.9698717257183898,0.06005633550220035,18691270138.528465
2001-03-30,298,-3452.9502754204127,-0.9607513910243985,0.05377341558701326,18781097038.224075
2001-04-30,300,-213.0976367149116,-0.9655368559148216,0.05613915229808375,22412185254.925606
2001-05-31,302,-192.93841545505606,-0.9625747497466497,0.07081095279644423,33464164371.98053
2001-06-29,298,-250.86721727109926,-0.9267482003954519,0.08063512595217953,25962406804.21457
2001-07-31,302,-88.83139360519984,-0.9481245071534965,0.06206368017310021,16130475708.133034
2001-08-31,294,-1163.258226445487,-0.9572947389132753,0.05945466386881548,30772630700.46745
2001-09-28,281,-75.10129410421183,-0.9477762766574837,0.06549887207489269,20804439937.28903
2001-10-31,285,-244.5068145910443,-0.9491418450674203,0.05663875110839389,11699760431.417952
2001-11-30,291,-200.48564082834653,-0.9344766812699571,0.07312683125599506,11118647361.174063
2001-12-31,294,-42012.85740149042,-0.9577113790902744,0.052680599821326335,15780136926.547325
2002-01-31,295,-1492.5473847849044,-0.9670616791166555,0.05242596186187265,72009125882.3959
2002-02-28,288,-26156.163592168865,-0.9576604223950133,0.05878465349599904,51466162970.45078
2002-03-28,291,-33682.700714630024,-0.9603905595559644,0.06027436089264959,50959985018.76942
2002-04-30,290,-402.818747651486,-0.9604684493677513,0.0635233190509985,118505256550.41154
2002-05-31,294,-747.3182206436618,-0.955967503866423,0.057046087950273994,48048455727.0923
2002-06-28,287,-104.9427470608436,-0.9626558732805051,0.05498862202211241,55887964108.7072
2002-07-31,277,-176.20219511935426,-0.9522556793012757,0.06281550709440187,14962334146.274052
2002-08-30,271,-283.9938428850413,-0.9481637410764489,0.06398099285656256,12564656008.329475
2002-09-30,262,-137.9422722392786,-0.9439950319281661,0.06804310034109184,13527208489.868645
2002-10-31,271,-15057.456440675378,-0.9640089495580344,0.05938190109327102,15629592651.864119
2002-11-29,274,-48052.12602163473,-0.9622886176660865,0.055197041724426965,11290595972.328453
2002-12-31,271,-10295.774534096134,-0.9487969147527939,0.06239497368302638,32888066243.134487
2003-01-31,271,-81084.20649593396,-0.9572401557583461,0.06477899529464115,28100110406.60172
2003-02-28,265,-14534.945413562458,-0.946769509395415,0.07524692025541968,25532159077.018764
2003-03-31,266,-1148.4728939669462,-0.9519533193604341,0.05851984413125433,37146110169.43927
2003-04-30,272,-119.67987868645419,-0.9583782224650681,0.06390154730297032,37790924705.57628
2003-05-30,278,-23253.569770108956,-0.9599886007079905,0.055785499332108635,34936265426.11856
2003-06-30,279,-45852.18644442284,-0.952026361453426,0.06426242432646967,35015415485.37629
2003-07-31,281,-48800.22122030178,-0.9684082693383751,0.07243236873368564,16159978408.514275
2003-08-29,283,-569812.2713166322,-0.9677062348102914,0.06871971576862035,20556395239.206417
2003-09-30,284,-25744.30903904921,-0.9575404029993608,0.074819765365079,19724013333.636097
2003-10-31,295,-9133.75880879725,-0.9612296194839214,0.05768624615960494,29720202309.622795
2003-11-28,295,-183391.5906053226,-0.9647091145400059,0.06764597084040613,22884365025.710407
2003-12-31,297,-63409.69602427232,-0.9534911235611981,0.05520154495112706,27638447839.736027
2004-01-30,308,-75766.28893215413,-0.9572104645137312,0.054402168055560696,27962386433.84031
2004-02-27,305,-89724.36531531335,-0.9590778300233082,0.05588686440550106,21807631504.00192
2004-03-31,304,-51482.78866171197,-0.9603107102437454,0.06886894780869823,35059220676.71807
2004-04-30,301,-89553.16795721708,-0.9561446388590221,0.06324918931006362,29486259417.282234
2004-05-28,299,-15117.417635403539,-0.9603021826235549,0.08025393127695135,100534520897.23097
2004-06-30,300,-33491.415417155156,-0.9585180726158595,0.08116154447031293,53414907904.024704
2004-07-30,292,-3320.900876732288,-0.9331823754691166,0.0701671071408767,40066258271.62044
2004-08-31,288,-3345.6710206500024,-0.9362001973402523,0.06737674663408116,31910777220.751595
2004-09-30,288,-118255.27952746378,-0.9492935307075836,0.09426388895822058,24485572904.45955
2004-10-29,291,-45533.82895264738,-0.9445007764992566,0.06370753816789199,36671014016.46847
2004-11-30,294,-82040.31861418344,-0.9407126517270894,0.08246578631487783,46607694481.42092
2004-12-31,296,-72019.85409403672,-0.9411496009481257,0.07048308966977851,35375281990.615105
2005-01-31,296,-201138.4841403812,-0.9534235633929226,0.06887770488509792,94086761561.59406
2005-02-28,294,-9645.931932771007,-0.9392912829730794,0.0629334390494326,93104256809.72273
2005-03-31,294,-9107.51615226225,-0.9474467345633338,0.06564496001831133,105762933861.68016
2005-04-29,285,-78326.45222446584,-0.9576674992975214,0.08210946221014159,95228062603.61794
2005-05-31,285,-48513.611100234026,-0.9359238128511255,0.06782118619346567,30696019274.454693
2005-06-30,288,-223717.9442027391,-0.9350165425302054,0.07115076518397906,62610404542.15685
2005-07-29,286,-191084.92250565236,-0.9248949472079206,0.07644546330298674,22803299711.801495
2005-08-31,281,-68849.83816804718,-0.930080944191665,0.07002536669166781,53065765254.85825
2005-09-30,280,-1766160.894978184,-0.957989664114035,0.06467089865776077,109602964648.04205
2005-10-31,279,-2065562.9168357097,-0.9755826126809909,0.06225786385679044,204538761049.1174
2005-11-30,276,-1741386.6190247743,-0.9623565279711779,0.057288556018238845,272854959019.3589
2005-12-30,277,-14444.900979704269,-0.9501782329157149,0.07333114278014441,108059741168.79033
2006-01-31,279,-16580.010184172235,-0.9373397424620555,0.06357907536050322,136763820098.81612
2006-02-28,277,-216582.60590219154,-0.9440984885436652,0.06106966059012886,104702123129.78159
2006-03-31,277,-6756.432369132636,-0.9304806964712079,0.07272571722527166,13453684599.66156
2006-04-28,276,-1604.5809369219317,-0.9322487456341979,0.0745856940075248,20646020808.501
2006-05-31,269,-112424.45669971714,-0.9476316304067175,0.07716583822380307,71383370091.9034
2006-06-30,264,-26088.034286401937,-0.9434451373549309,0.06417613620483908,129985535281.15305
2006-07-31,263,-330760.1979718332,-0.936304396583853,0.08298526400368889,18254495580.935238
2006-08-31,262,-567957.5019851001,-0.931202748288966,0.0688502248695364,19256857321.7627
2006-09-29,262,-49009.82226879007,-0.9420418405988624,0.07066030721662209,37496693467.14951
2006-10-31,259,-189887.59714147702,-0.9107045028923413,0.09767607305406067,58287265523.014984
2006-11-30,265,-244537.08929018647,-0.9171570560087398,0.08408746908115672,65674339635.7062
2006-12-29,264,-13304.387028806008,-0.946356246401599,0.08360461505403993,61471840057.93048
2007-01-31,260,-281560.0687844907,-0.9204631621423205,0.08016517007572588,133793264805.21779
2007-02-28,260,-686883.7015823561,-0.9438423108632799,0.08326895871726436,154534295270.64
2007-03-30,257,-315072.5203859684,-0.9377055892490058,0.08094257281007777,62492126206.90462
2007-04-30,254,-49638.62076467993,-0.9576970871968062,0.09187555139664288,61519437310.3889
2007-05-31,254,-197992.89093153307,-0.9431313103935377,0.08396644128472652,50452179927.39065
2007-06-29,254,-148249.93508288066,-0.9309331017893918,0.07632188420923097,54665160383.91807
2007-07-31,249,-6040.336094325739,-0.9310877134144563,0.09282545274605292,52944725217.63442
2007-08-31,246,-462729.83882312477,-0.9536532741844485,0.08883745716009678,53319926505.18025
2007-09-28,242,-110794.91672310773,-0.9277538934703252,0.08397083116655879,43231864039.34369
2007-10-31,245,-58027.62453681371,-0.9585235063670331,0.0768431280754236,53839859273.247505
2007-11-30,242,-186322.37161491055,-0.9524113144448665,0.07197785107725618,54756589115.44349
2007-12-31,237,-444733.1243158076,-0.9379039846351409,0.06712140386885523,87773995160.24734
2008-01-31,236,-149734.11663107935,-0.942261747389598,0.06649763705246403,65558849597.00834
2008-02-29,237,-102565.7837020345,-0.9514058850869775,0.0627672169606679,114365770301.34282
2008-03-31,234,-26498.30055431623,-0.9274207603589086,0.0799508104833545,69614946311.70618
2008-04-30,235,-222113.07344302887,-0.9468091447325566,0.0874779695562018,44022102580.52377
2008-05-30,235,-155912.81995034995,-0.9476056188523216,0.06882875907875685,46259446916.63964
2008-06-30,232,-124459.24835714033,-0.941213417528337,0.06674268705571867,59912010110.94529
2008-07-31,228,-864698.9574547012,-0.9557508268207631,0.0764757381437276,81983962754.44585
2008-08-29,227,-488489.90216919046,-0.9428978867120716,0.07323164260099868,48794442407.03729
2008-09-30,224,-145208.16628931338,-0.9427032849496825,0.08998101201334663,28651176286.097675
