industry,year,beta_mean,beta_std,N,window
Mining,1999,0.7780214619987602,0.5931251113513273,8,24m
Mining,2000,0.5312706062811287,0.9059795224284738,10,24m
Mining,2001,0.5260646910674851,0.552852590005233,10,24m
Mining,2002,0.6291031029248713,0.699248857362298,10,24m
Mining,2003,0.6661648684944246,0.6140531156310727,9,24m
Mining,2004,1.0295366249196445,0.8573726534095348,10,24m
Mining,2005,0.9957818268974064,1.1395624706756555,8,24m
Mining,2006,2.574790126367096,0.9584988161237329,9,24m
Mining,2007,1.4708301858828834,0.779680858271461,9,24m
Mining,2008,1.0632224197536115,0.7468104815608859,10,24m
Mining,2009,1.7126416199462178,1.2023430060718339,10,24m
Mining,2010,1.9541262712708642,0.7258801706163979,9,24m
Mining,2011,1.8258016554362047,0.5532951033276434,9,24m
Mining,2012,2.2722280967354944,0.93895492719086,10,24m
Mining,2013,1.9163766589990927,1.608079100227042,10,24m
Mining,2014,1.6770214789381932,1.2923742394916387,10,24m
Mining,2015,1.3848989559158211,1.3820849418157124,9,24m
Mining,2016,2.943608005336434,2.0546783368315555,10,24m
Mining,2017,2.083387073723261,3.2264915751131746,9,24m
Mining,2018,1.7079292679593165,1.1356365052850714,9,24m
Mining,2019,1.8179375234042947,0.7999711258322647,8,24m
Mining,2020,2.707287418521387,1.1574173967755992,10,24m
Mining,2021,2.8775209317776937,1.2438299350982691,10,24m
Mining,2022,1.145625308267444,0.8289113034302419,10,24m
Mining,2023,1.036556484779245,1.0467528377919455,9,24m
Public Administration,1996,0.8268448893111877,1.8133341686024123,5,24m
Public Administration,1997,0.6839614190891032,1.0102228072344148,10,24m
Public Administration,1998,0.7838679010343039,0.5959882285501493,10,24m
Public Administration,1999,1.399686911513068,0.462566969596499,3,24m
Public Administration,2000,1.1543251259019853,0.5186352738896409,2,24m
Public Administration,2001,0.2622102835539252,,1,24m
Public Administration,2002,0.534467956101235,,1,24m
Public Administration,2003,0.5372042006691735,,1,24m
Public Administration,2004,0.7922094808335298,,1,24m
Public Administration,2005,0.24922653973675227,,1,24m
Public Administration,2006,1.2177594577818667,0.7312500282443868,3,24m
Public Administration,2007,0.8084799763576658,1.1864428064739387,5,24m
Public Administration,2008,-1.28538616699605,,1,24m
Public Administration,2009,1.2732820267315783,1.1543235790597017,6,24m
Public Administration,2010,-0.004967193143788393,1.567432272694939,4,24m
Public Administration,2011,0.9124017679392112,0.5979856740876272,10,24m
Public Administration,2012,1.1925312505369972,0.6443743283566216,6,24m
Public Administration,2013,0.43530989495542344,0.8073811747489215,7,24m
Public Administration,2014,2.135076621311658,1.4620172594430285,6,24m
Public Administration,2015,1.7898441169539363,1.621728538086647,9,24m
Public Administration,2016,1.8361005147522942,1.2284545004653304,10,24m
Public Administration,2017,2.43060804465256,1.7894063785925058,9,24m
Public Administration,2018,1.8316314639211697,1.4640422726426647,7,24m
Public Administration,2019,1.4014644483973098,1.1959354473928137,9,24m
Public Administration,2020,1.4261711529832695,0.6894133078919141,7,24m
Public Administration,2021,1.1572277689918145,4.252564536395123,7,24m
Public Administration,2022,0.3599923343613733,0.8541226594935872,10,24m
Public Administration,2023,1.1104008107902315,1.0662148339069002,9,24m
Retail Trade,1996,0.6925241039032743,1.9628974578103617,7,24m
Retail Trade,1997,0.8469046329251141,0.9281451649877385,10,24m
Retail Trade,1998,0.8436731613208046,0.521883334834027,10,24m
Retail Trade,1999,1.127112087176816,0.8538776656500663,9,24m
Retail Trade,2000,0.847893544383758,1.0720960976645704,9,24m
Retail Trade,2001,0.5634749599938547,0.7077695045123719,9,24m
Retail Trade,2002,1.1575734885312456,0.8761238957769575,10,24m
Retail Trade,2003,1.2624115118610635,1.2047424640923705,10,24m
Retail Trade,2004,1.2227772274417394,0.8607355906903966,9,24m
Retail Trade,2005,1.738696856840747,0.836106556178257,9,24m
Retail Trade,2006,1.3047520144554636,0.7746093729514661,10,24m
Retail Trade,2007,0.8209933268958707,0.7395378061214143,10,24m
Retail Trade,2008,0.8082309372894514,0.7222862852529657,10,24m
Retail Trade,2009,1.5653498600182174,1.161613018390668,9,24m
Retail Trade,2010,1.3847906979996913,0.7529067123708001,10,24m
Retail Trade,2011,1.4436692560281155,0.7219248054200831,9,24m
Retail Trade,2012,1.1657369681348118,0.6287944508600194,10,24m
Retail Trade,2013,0.9612256804470857,0.8408622061336858,10,24m
Retail Trade,2014,1.6529923422509691,1.4205764770428462,8,24m
Retail Trade,2015,0.8108184175499489,0.9365875870207631,10,24m
Retail Trade,2016,0.8595835134721964,0.8069240525547066,9,24m
Retail Trade,2017,1.0362916131222257,0.6846661021239914,9,24m
Retail Trade,2018,0.965645384143501,0.8340083500316806,10,24m
Retail Trade,2019,1.1889495633978133,0.7375096029973361,10,24m
Retail Trade,2020,1.9852922213835722,0.9142891605907864,10,24m
Retail Trade,2021,1.477810729132192,0.8313145593654006,9,24m
Retail Trade,2022,0.7489359682065149,0.33131282182616995,10,24m
Retail Trade,2023,1.629987464284858,0.8395966003311264,10,24m
Services,1996,1.697012243052412,1.4728800626113432,9,24m
Services,1997,1.6305295610244317,1.120778100205642,9,24m
Services,1998,1.164099587607127,0.4848419252428439,9,24m
Services,1999,1.7627971003382576,1.5153355289006454,8,24m
Services,2000,1.5907308045213917,1.2167275643961168,9,24m
Services,2001,1.63755671918301,1.586776308757482,9,24m
Services,2002,1.4352417262272326,1.0138128147568262,10,24m
Services,2003,1.942155884938975,0.8076357086031557,7,24m
Services,2004,1.0318755260637966,1.6001142683652925,10,24m
Services,2005,1.5673266812492483,1.1009977817584613,8,24m
Services,2006,0.9938321727243045,1.1996690325957275,8,24m
Services,2007,1.1590641563660076,1.2007468564021888,9,24m
Services,2008,1.462765283347024,0.9693338489804074,10,24m
Services,2009,1.4128152763209245,0.9488990790368919,10,24m
Services,2010,1.759292900382927,1.8475989856009227,9,24m
Services,2011,1.1247423147176412,0.7279027891340232,9,24m
Services,2012,1.096956476482179,0.9117907483149754,9,24m
Services,2013,1.2613550656566797,1.807579837015051,10,24m
Services,2014,0.7105418472064999,0.549445642068086,9,24m
Services,2015,0.5785304834488978,1.1889867165677832,10,24m
Services,2016,0.9512446517489573,0.5954337118105263,10,24m
Services,2017,1.9545067717966715,2.188923470327428,9,24m
Services,2018,0.9355106804948985,0.6919302842950991,10,24m
Services,2019,1.1080789337577786,0.761729158101696,10,24m
Services,2020,1.0132970569867066,0.533942731115311,9,24m
Services,2021,1.6728868442705738,0.8341938804986442,7,24m
Services,2022,0.8081257008575451,0.5182643817038428,10,24m
Services,2023,1.1870951088524158,0.571343353492135,10,24m
Transportation & Utilities,1996,0.49777081078747837,0.5784585277190015,7,24m
Transportation & Utilities,1997,1.1574106011439285,1.209077564545426,8,24m
Transportation & Utilities,1998,0.8053566474948776,0.5495248245523343,9,24m
Transportation & Utilities,1999,1.3168615256517646,2.0292182246082473,10,24m
Transportation & Utilities,2000,0.7378223697198824,1.0051728421199504,8,24m
Transportation & Utilities,2001,1.0692715846052472,1.0612971256167296,10,24m
Transportation & Utilities,2002,1.122882583280716,1.0682168434453394,10,24m
Transportation & Utilities,2003,0.7223366057182966,0.45893922983749,10,24m
Transportation & Utilities,2004,1.6355012252891312,1.3271031518130445,7,24m
Transportation & Utilities,2005,1.2270543025179086,1.20143097241585,9,24m
Transportation & Utilities,2006,0.6705537005756497,0.9614057818049444,9,24m
Transportation & Utilities,2007,1.2609530489631422,1.1321946070454805,9,24m
Transportation & Utilities,2008,0.7785453662562488,0.7787987268772167,10,24m
Transportation & Utilities,2009,1.1534647472218416,0.6816858258992278,10,24m
Transportation & Utilities,2010,1.2325702139792263,0.7086378930996708,9,24m
Transportation & Utilities,2011,1.3161887381205475,0.6577305854895621,10,24m
Transportation & Utilities,2012,0.7013885542662163,0.5947515996083257,10,24m
Transportation & Utilities,2013,0.6789307696007149,0.5464466293019823,10,24m
Transportation & Utilities,2014,1.3238392992556418,1.2258312169299523,10,24m
Transportation & Utilities,2015,0.8131737964179241,1.078544179520107,10,24m
Transportation & Utilities,2016,1.1213448908975727,0.8087974822591943,10,24m
Transportation & Utilities,2017,0.5788121652428103,0.6478756583140127,10,24m
