Date,Signal,Position,AccountValue
2011-08-11,0,0,10052.878575325012
2011-08-12,0,0,10052.878575325012
2011-08-15,1,10,10052.878575325012
2011-08-16,0,10,10051.83213710785
2011-08-17,-1,0,10051.817860603333
2011-08-18,0,0,10051.817860603333
2011-08-19,0,0,10051.817860603333
2011-08-22,0,0,10051.817860603333
2011-08-23,0,0,10051.817860603333
2011-08-24,1,10,10051.817860603333
2011-08-25,0,10,10050.939288139343
2011-08-26,0,10,10054.46072101593
2011-08-29,0,10,10056.742854118347
2011-08-30,1,20,10056.749997138977
2011-08-31,0,20,10053.06429386139
2011-09-01,-1,0,10050.350003242493
2011-09-02,0,0,10050.350003242493
2011-09-06,0,0,10050.350003242493
2011-09-07,0,0,10050.350003242493
2011-09-08,1,10,10050.350003242493
2011-09-09,0,10,10047.9714345932
2011-09-12,0,10,10048.85000705719
2011-09-13,0,10,10050.52143573761
2011-09-14,1,20,10052.192854881287
2011-09-15,0,20,10054.807143211365
2011-09-16,0,20,10060.192847251892
2011-09-19,0,20,10068.142848014832
2011-09-20,0,20,10069.442858695984
2011-09-21,0,20,10068.507151603699
2011-09-22,-1,0,10061.13570690155
2011-09-23,0,0,10061.13570690155
2011-09-26,0,0,10061.13570690155
2011-09-27,0,0,10061.13570690155
2011-09-28,0,0,10061.13570690155
2011-09-29,0,0,10061.13570690155
2011-09-30,0,0,10061.13570690155
2011-10-03,0,0,10061.13570690155
2011-10-04,0,0,10061.13570690155
2011-10-05,0,0,10061.13570690155
2011-10-06,0,0,10061.13570690155
2011-10-07,0,0,10061.13570690155
2011-10-10,0,0,10061.13570690155
2011-10-11,0,0,10061.13570690155
2011-10-12,1,10,10061.13570690155
2011-10-13,1,20,10063.364281654358
2011-10-14,0,20,10073.057141304016
2011-10-17,0,20,10071.62142276764
2011-10-18,0,20,10073.228554725647
2011-10-19,0,20,10056.357140541077
2011-10-20,-1,0,10053.992829322815
2011-10-21,0,0,10053.992829322815
2011-10-24,0,0,10053.992829322815
2011-10-25,0,0,10053.992829322815
2011-10-26,0,0,10053.992829322815
2011-10-27,0,0,10053.992829322815
2011-10-28,1,10,10053.992829322815
2011-10-31,0,10,10053.932118415833
2011-11-01,-1,0,10050.978541374207
2011-11-02,0,0,10050.978541374207
2011-11-03,0,0,10050.978541374207
2011-11-04,0,0,10050.978541374207
2011-11-07,0,0,10050.978541374207
2011-11-08,0,0,10050.978541374207
2011-11-09,0,0,10050.978541374207
2011-11-10,0,0,10050.978541374207
2011-11-11,0,0,10050.978541374207
2011-11-14,0,0,10050.978541374207
2011-11-15,0,0,10050.978541374207
2011-11-16,0,0,10050.978541374207
2011-11-17,0,0,10050.978541374207
2011-11-18,0,0,10050.978541374207
2011-11-21,0,0,10050.978541374207
2011-11-22,0,0,10050.978541374207
2011-11-23,0,0,10050.978541374207
2011-11-25,0,0,10050.978541374207
2011-11-28,0,0,10050.978541374207
2011-11-29,0,0,10050.978541374207
2011-11-30,0,0,10050.978541374207
2011-12-01,0,0,10050.978541374207
2011-12-02,1,10,10050.978541374207
2011-12-05,1,20,10052.160677909851
2011-12-06,0,20,10050.689253807068
2011-12-07,-1,0,10049.360690116882
2011-12-08,0,0,10049.360690116882
2011-12-09,0,0,10049.360690116882
2011-12-12,0,0,10049.360690116882
2011-12-13,0,0,10049.360690116882
2011-12-14,0,0,10049.360690116882
2011-12-15,0,0,10049.360690116882
2011-12-16,0,0,10049.360690116882
2011-12-19,0,0,10049.360690116882
2011-12-20,1,10,10049.360690116882
2011-12-21,1,20,10049.53926563263
2011-12-22,0,20,10051.039261817932
2011-12-23,0,20,10054.45354938507
2011-12-27,0,20,10056.739258766174
2011-12-28,0,20,10053.960690498352
2011-12-29,0,20,10055.732102394104
2011-12-30,0,20,10055.646405220032
2012-01-03,0,20,10060.096402168274
2012-01-04,0,20,10061.674962043762
2012-01-05,0,20,10064.953541755676
2012-01-06,0,20,10068.074975013733
2012-01-09,0,20,10067.596402168274
2012-01-10,0,20,10068.674969673157
2012-01-11,0,20,10068.182110786438
2012-01-12,-1,0,10067.353539466858
2012-01-13,0,0,10067.353539466858
2012-01-17,0,0,10067.353539466858
2012-01-18,0,0,10067.353539466858
2012-01-19,0,0,10067.353539466858
2012-01-20,0,0,10067.353539466858
2012-01-23,0,0,10067.353539466858
2012-01-24,0,0,10067.353539466858
2012-01-25,0,0,10067.353539466858
2012-01-26,0,0,10067.353539466858
2012-01-27,0,0,10067.353539466858
2012-01-30,0,0,10067.353539466858
2012-01-31,1,10,10067.353539466858
2012-02-01,0,10,10067.249970436096
2012-02-02,-1,0,10066.867833137512
2012-02-03,0,0,10066.867833137512
2012-02-06,0,0,10066.867833137512
2012-02-07,1,10,10066.867833137512
2012-02-08,1,20,10069.67140674591
2012-02-09,0,20,10081.449971199036
2012-02-10,0,20,10081.62853717804
2012-02-13,0,20,10088.185696601868
2012-02-14,0,20,10093.085675239563
2012-02-15,0,20,10084.664273262024
2012-02-16,0,20,10087.907109260559
2012-02-17,0,20,10087.842831611633
2012-02-21,0,20,10096.935696601868
2012-02-22,0,20,10095.642819404602
2012-02-23,0,20,10098.03566455841
